series_id,user_id,description,category,direction,currency,n_dates,median_gap,interval_iqr,amount_cv,cadence
355,user_112,electricity bill,utilities,debit,EUR,5,30.5,1.25,0.03583996441792245,monthly_candidate
357,user_112,fresh food shop,groceries,debit,EUR,4,28.0,14.0,0.18212307022899035,monthly_candidate
360,user_112,landlord standing order,rent,debit,EUR,6,31.0,1.0,0.0,monthly_candidate
361,user_112,local market purchase,groceries,debit,EUR,6,28.0,28.0,0.1742204990189953,monthly_candidate
362,user_112,local taxi,transport,debit,EUR,4,21.0,21.0,0.01992252584036037,other
365,user_112,music service subscription,music_subscription,debit,EUR,5,30.5,1.25,0.0,monthly_candidate
368,user_112,parking and tolls,transport,debit,EUR,5,35.0,19.25,0.11945743927274818,other
372,user_112,supermarket basket,groceries,debit,EUR,4,35.0,42.0,0.12355771128098943,other
373,user_112,vehicle charging,transport,debit,EUR,4,21.0,10.5,0.11110047907476782,other
374,user_112,weekend food delivery,dining,debit,EUR,4,28.0,28.0,0.21361624628611314,monthly_candidate
375,user_112,weekly produce market,groceries,debit,EUR,4,35.0,14.0,0.07901485668570248,other
378,user_113,coffee shop,dining,debit,INR,5,24.5,21.0,0.1413319992556823,other
380,user_113,electricity and water bill,utilities,debit,INR,5,30.5,1.0,0.0818117748297341,monthly_candidate
384,user_113,fuel refill,transport,debit,INR,4,40.0,17.5,0.0913416397931238,other
386,user_113,health insurance premium,insurance,debit,INR,5,30.5,1.0,0.0,monthly_candidate
388,user_113,international employer payroll,salary,credit,USD,5,30.5,1.0,0.0,monthly_candidate
389,user_113,landlord standing order,rent,debit,INR,6,31.0,1.0,0.0,monthly_candidate
392,user_113,lunch with colleagues,dining,debit,INR,8,21.0,28.0,0.12805096176083966,other
393,user_113,metro and bus fares,transport,debit,INR,4,35.0,12.5,0.11553133575019472,other
394,user_113,neighbourhood grocer,groceries,debit,INR,4,50.0,20.0,0.1602606342768156,other
396,user_113,online retail purchases,shopping,debit,INR,5,30.5,1.0,0.043657735417347285,monthly_candidate
397,user_113,parking and tolls,transport,debit,INR,5,25.0,22.5,0.16462189472118927,other
399,user_113,rail pass,transport,debit,INR,8,15.0,22.5,0.11321018965815433,other
400,user_113,ride-hailing trip,transport,debit,INR,4,25.0,20.0,0.1538749076333007,other
401,user_113,shared storage plan,cloud_storage,debit,INR,5,30.5,1.0,0.0,monthly_candidate
402,user_113,streaming subscription,streaming,debit,INR,5,30.5,1.0,0.0,monthly_candidate
405,user_113,vehicle charging,transport,debit,INR,5,17.5,28.75,0.13908595116267689,other
406,user_113,weekend entertainment,entertainment,debit,INR,5,30.5,1.0,0.05806798835239581,monthly_candidate
408,user_114,bakery and snacks,dining,debit,INR,4,42.0,21.0,0.12245112971898334,other
410,user_114,cloud storage plan,cloud_storage,debit,INR,5,30.5,1.0,0.0,monthly_candidate
412,user_114,commuter pass,transport,debit,INR,5,35.0,31.25,0.10923273977105169,other
413,user_114,family dinner,dining,debit,INR,5,24.5,15.75,0.10174032512246058,other
414,user_114,fuel refill,transport,debit,INR,5,25.0,11.25,0.1308795993771805,other
415,user_114,games and recreation,entertainment,debit,INR,5,30.5,1.0,0.06766135027474213,monthly_candidate
416,user_114,grocery delivery,groceries,debit,INR,5,25.0,17.5,0.18325256752193306,other
417,user_114,household groceries,groceries,debit,INR,4,10.0,5.0,0.03163011301369462,other
418,user_114,household insurance,insurance,debit,INR,5,30.5,1.0,0.0,monthly_candidate
419,user_114,landlord standing order,rent,debit,INR,6,31.0,1.0,0.0,monthly_candidate
422,user_114,lunch with colleagues,dining,debit,INR,5,35.0,29.75,0.1495374159020581,other
423,user_114,metro and bus fares,transport,debit,INR,4,20.0,25.0,0.06573434566715211,other
424,user_114,monthly shopping spend,shopping,debit,INR,5,30.5,1.0,0.07622335488908293,monthly_candidate
428,user_114,payroll credit,salary,credit,INR,5,30.5,1.0,0.1978021978021978,monthly_candidate
431,user_114,ride-hailing trip,transport,debit,INR,5,42.5,37.5,0.16932227312593925,other
432,user_114,streaming subscription,streaming,debit,INR,5,30.5,1.0,0.0,monthly_candidate
434,user_114,vehicle charging,transport,debit,INR,7,20.0,10.0,0.2124508314473442,other
435,user_114,water and power payment,utilities,debit,INR,5,30.5,1.0,0.03383098588035891,monthly_candidate
436,user_114,weekend food delivery,dining,debit,INR,6,14.0,21.0,0.11064598495317109,other
439,user_115,coffee shop,dining,debit,INR,4,21.0,31.5,0.12089613663046453,other
442,user_115,household groceries,groceries,debit,INR,5,35.0,21.0,0.11952041620686002,other
444,user_115,landlord standing order,rent,debit,INR,6,31.0,1.0,0.0,monthly_candidate
445,user_115,loan repayment,debt_repayment,debit,INR,5,30.5,1.0,0.0,monthly_candidate
449,user_115,music subscription,music_subscription,debit,INR,5,30.5,1.0,0.0,monthly_candidate
452,user_115,payroll credit,salary,credit,INR,5,30.5,1.0,0.0,monthly_candidate
459,user_115,water and power payment,utilities,debit,INR,5,30.5,1.0,0.05395110077619158,monthly_candidate
462,user_116,bulk pantry shop,groceries,debit,INR,6,21.0,7.0,0.1352471365660758,other
463,user_116,child education fee,education,debit,INR,5,30.5,1.0,0.0,monthly_candidate
464,user_116,commuter pass,transport,debit,INR,4,14.0,10.5,0.17889238307423488,other
465,user_116,delivery service plan,delivery_membership,debit,INR,5,30.5,1.0,0.0,monthly_candidate
474,user_116,lunch with colleagues,dining,debit,INR,5,21.0,21.0,0.1428526787665557,other
476,user_116,music service subscription,music_subscription,debit,INR,5,30.5,1.0,0.0,monthly_candidate
478,user_116,neighbourhood restaurant,dining,debit,INR,4,70.0,28.0,0.16287100480827502,other
480,user_116,payroll credit,salary,credit,INR,5,30.5,1.0,0.0,monthly_candidate
484,user_116,residential rent payment,rent,debit,INR,6,31.0,1.0,0.0,monthly_candidate
485,user_116,ride-hailing trip,transport,debit,INR,6,14.0,0.0,0.14302868225034648,other
486,user_116,supermarket basket,groceries,debit,INR,5,21.0,28.0,0.16445192513982562,other
488,user_116,vehicle charging,transport,debit,INR,6,14.0,28.0,0.13577730243053102,other
489,user_116,vehicle loan payment,debt_repayment,debit,INR,5,30.5,1.0,0.0,monthly_candidate
490,user_116,water and power payment,utilities,debit,INR,5,30.5,1.0,0.06992728003483639,monthly_candidate
492,user_116,weekly produce market,groceries,debit,INR,6,28.0,28.0,0.11271226505118177,monthly_candidate
493,user_117,bakery and snacks,dining,debit,EUR,5,28.0,31.5,0.09582384056885794,monthly_candidate
497,user_117,electricity and water bill,utilities,debit,EUR,5,30.5,1.5,0.0231215165493881,monthly_candidate
499,user_117,family streaming plan,streaming,debit,EUR,5,30.5,1.5,0.0,monthly_candidate
500,user_117,fresh food shop,groceries,debit,EUR,7,30.0,22.5,0.13262714742754858,monthly_candidate
503,user_117,home association fee,housing,debit,EUR,6,30.0,1.0,0.0,monthly_candidate
505,user_117,household insurance,insurance,debit,EUR,5,30.5,1.5,0.0,monthly_candidate
510,user_117,payroll credit,salary,credit,EUR,5,30.5,1.5,0.0,monthly_candidate
513,user_117,regular medicine purchase,healthcare,debit,EUR,5,30.5,1.5,0.06686482891606653,monthly_candidate
521,user_118,bulk pantry shop,groceries,debit,EUR,4,21.0,10.5,0.08603761003857521,other
523,user_118,commuter pass,transport,debit,EUR,4,49.0,28.0,0.13897994600652175,other
524,user_118,education loan instalment,debt_repayment,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
525,user_118,electricity bill,utilities,debit,EUR,5,31.0,0.25,0.06387413277312097,monthly_candidate
528,user_118,fuel refill,transport,debit,EUR,4,35.0,14.0,0.10700590719846684,other
529,user_118,grocery delivery,groceries,debit,EUR,5,21.0,7.0,0.11806504122689615,other
530,user_118,household groceries,groceries,debit,EUR,4,35.0,35.0,0.13654240142575044,other
531,user_118,local market purchase,groceries,debit,EUR,5,28.0,12.25,0.1660397290613202,monthly_candidate
532,user_118,local taxi,transport,debit,EUR,4,35.0,17.5,0.17958512091019516,other
535,user_118,monthly rent,rent,debit,EUR,6,31.0,1.0,1.2130477776527533e-16,monthly_candidate
536,user_118,monthly shopping spend,shopping,debit,EUR,5,31.0,0.25,0.04694359329289953,monthly_candidate
540,user_118,payroll credit,salary,credit,EUR,5,31.0,0.25,0.0,monthly_candidate
544,user_118,ride-hailing trip,transport,debit,EUR,5,21.0,5.25,0.16720939319713854,other
545,user_118,shared storage plan,cloud_storage,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
546,user_118,streaming subscription,streaming,debit,EUR,5,31.0,0.25,0.0,monthly_candidate
554,user_119,cloud storage plan,cloud_storage,debit,INR,5,31.0,0.75,0.0,monthly_candidate
556,user_119,course tuition,education,debit,INR,5,31.0,0.75,0.0,monthly_candidate
557,user_119,electricity and water bill,utilities,debit,INR,5,31.0,0.75,0.04996202893873382,monthly_candidate
560,user_119,fuel refill,transport,debit,INR,4,42.0,21.0,0.10624898701102131,other
561,user_119,grocery delivery,groceries,debit,INR,5,25.0,12.5,0.07684132340977948,other
563,user_119,local market purchase,groceries,debit,INR,4,10.0,0.0,0.14801507163641034,other
570,user_119,property maintenance contribution,housing,debit,INR,5,31.0,0.75,0.0,monthly_candidate
576,user_119,therapy appointment,healthcare,debit,INR,5,31.0,0.75,0.02556788066784126,monthly_candidate
578,user_119,vehicle insurance premium,insurance,debit,INR,5,31.0,0.75,0.0,monthly_candidate
579,user_119,weekend entertainment,entertainment,debit,INR,5,31.0,0.75,0.04571658590092466,monthly_candidate
581,user_120,bulk pantry shop,groceries,debit,IDR,4,50.0,25.0,0.10642235658703807,other
583,user_120,cloud storage plan,cloud_storage,debit,IDR,5,30.5,1.5,0.0,monthly_candidate
584,user_120,family dinner,dining,debit,IDR,5,31.5,21.0,0.1342974620936475,monthly_candidate
591,user_120,local market purchase,groceries,debit,IDR,4,30.0,20.0,0.0657973781765724,monthly_candidate
594,user_120,municipal utilities,utilities,debit,IDR,6,31.0,1.0,0.06318358718542233,monthly_candidate
596,user_120,online retail purchases,shopping,debit,IDR,5,30.5,1.5,0.07858950061947757,monthly_candidate
597,user_120,payroll credit,salary,credit,IDR,5,30.5,1.5,0.0,monthly_candidate
601,user_120,shared housing rent,rent,debit,IDR,6,31.0,1.0,0.0,monthly_candidate
602,user_120,supermarket basket,groceries,debit,IDR,4,40.0,40.0,0.08378888158545775,other
605,user_120,video streaming plan,streaming,debit,IDR,5,30.5,1.5,0.0,monthly_candidate
607,user_121,coffee shop,dining,debit,USD,4,14.0,21.0,0.11145908848326254,other
609,user_121,electricity and water bill,utilities,debit,USD,5,31.0,0.25,0.041850570046855,monthly_candidate
611,user_121,food delivery membership,delivery_membership,debit,USD,5,31.0,0.25,0.0,monthly_candidate
612,user_121,fresh food shop,groceries,debit,USD,9,14.0,10.5,0.12192949248235489,other
613,user_121,fuel refill,transport,debit,USD,4,56.0,24.5,0.22300890572120372,other
614,user_121,games and recreation,entertainment,debit,USD,5,31.0,0.25,0.06484192538726155,monthly_candidate
616,user_121,gym membership,gym,debit,USD,5,31.0,0.25,0.0,monthly_candidate
617,user_121,household groceries,groceries,debit,USD,5,35.0,8.75,0.1321646329120202,other
619,user_121,landlord standing order,rent,debit,USD,6,31.0,1.0,1.6167070210696252e-16,monthly_candidate
624,user_121,music service subscription,music_subscription,debit,USD,5,31.0,0.25,0.0,monthly_candidate
625,user_121,neighbourhood grocer,groceries,debit,USD,4,35.0,7.0,0.0711496703333902,other
628,user_121,payroll credit,salary,credit,USD,5,31.0,0.25,0.0,monthly_candidate
631,user_121,ride-hailing trip,transport,debit,USD,6,21.0,28.0,0.1686546434736569,other
634,user_121,vehicle charging,transport,debit,USD,5,31.5,22.75,0.09295941133069828,monthly_candidate
644,user_122,energy provider bill,utilities,debit,IDR,5,30.5,1.0,0.07534769498750225,monthly_candidate
650,user_122,household shopping,shopping,debit,IDR,5,30.5,1.0,0.056809597959667876,monthly_candidate
653,user_122,monthly rent,rent,debit,IDR,6,31.0,1.0,0.0,monthly_candidate
658,user_122,shared storage plan,cloud_storage,debit,IDR,5,30.5,1.0,0.0,monthly_candidate
659,user_122,supermarket basket,groceries,debit,IDR,4,40.0,25.0,0.06769582696821522,other
662,user_122,video streaming plan,streaming,debit,IDR,5,30.5,1.0,0.0,monthly_candidate
664,user_122,weekly produce market,groceries,debit,IDR,5,40.0,10.0,0.17981622952812892,other
665,user_123,bakery and snacks,dining,debit,IDR,4,42.0,35.0,0.20263337188343702,other
666,user_123,bulk pantry shop,groceries,debit,IDR,4,35.0,21.0,0.05122970593829662,other
668,user_123,community fitness plan,gym,debit,IDR,5,30.5,1.0,0.0,monthly_candidate
670,user_123,delivery platform payout,salary,credit,IDR,6,14.0,6.0,0.18687884547721195,other
671,user_123,driver platform payout,salary,credit,IDR,8,21.0,8.5,0.17044970312281782,other
672,user_123,energy provider bill,utilities,debit,IDR,5,30.5,1.0,0.060807864887626906,monthly_candidate
675,user_123,grocery delivery,groceries,debit,IDR,6,35.0,21.0,0.1585730429983009,other
676,user_123,grocery delivery membership,delivery_membership,debit,IDR,5,30.5,1.0,0.0,monthly_candidate
678,user_123,landlord standing order,rent,debit,IDR,6,31.0,1.0,0.0,monthly_candidate
682,user_123,metro and bus fares,transport,debit,IDR,5,10.5,7.0,0.14713272966348298,other
683,user_123,monthly entertainment spend,entertainment,debit,IDR,5,30.5,1.0,0.0782864812268902,monthly_candidate
684,user_123,music subscription,music_subscription,debit,IDR,5,30.5,1.0,0.0,monthly_candidate
685,user_123,neighbourhood grocer,groceries,debit,IDR,5,31.5,21.0,0.1693569818304842,monthly_candidate
689,user_123,rail pass,transport,debit,IDR,5,24.5,29.75,0.05839739431288194,other
691,user_123,supermarket basket,groceries,debit,IDR,4,35.0,31.5,0.05988509644178366,other
693,user_123,task marketplace payout,salary,credit,IDR,4,14.0,32.0,0.15024551044552223,other
698,user_124,apartment rent transfer,rent,debit,EUR,6,31.0,1.0,0.0,monthly_candidate
702,user_124,education loan instalment,debt_repayment,debit,EUR,5,30.5,1.25,0.0,monthly_candidate
703,user_124,electricity and water bill,utilities,debit,EUR,5,30.5,1.25,0.0760226232872019,monthly_candidate
712,user_124,music service subscription,music_subscription,debit,EUR,5,30.5,1.25,0.0,monthly_candidate
717,user_124,previous employer payroll,salary,credit,EUR,4,31.0,1.0,0.0,monthly_candidate
724,user_125,cloud storage plan,cloud_storage,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
726,user_125,commuter pass,transport,debit,ZAR,12,15.0,10.0,0.14181269796648943,other
727,user_125,electricity and water bill,utilities,debit,ZAR,5,30.5,1.0,0.06526547032118557,monthly_candidate
728,user_125,family dinner,dining,debit,ZAR,5,31.5,21.0,0.1347949566869952,monthly_candidate
729,user_125,fresh food shop,groceries,debit,ZAR,4,50.0,35.0,0.18222782508358767,other
730,user_125,fuel refill,transport,debit,ZAR,4,15.0,47.5,0.07447560181456947,other
732,user_125,household groceries,groceries,debit,ZAR,4,20.0,45.0,0.2036333517129683,other
733,user_125,insurance policy payment,insurance,debit,ZAR,5,30.5,1.0,0.0,monthly_candidate
734,user_125,international employer payroll,salary,credit,EUR,5,30.5,1.0,0.0,monthly_candidate
735,user_125,landlord standing order,rent,debit,ZAR,6,31.0,1.0,0.0,monthly_candidate
736,user_125,local market purchase,groceries,debit,ZAR,4,50.0,25.0,0.17316915422558188,other
