message_id,user_id,payroll,timing_change,amount_change,cancellation_or_end,unsettled_or_dispute,transfer_or_multiple_accounts,unmatched
message_105,user_137,False,False,True,False,False,False,False
message_106,user_138,False,False,False,False,True,False,False
message_107,user_140,True,False,False,False,False,False,False
message_108,user_141,False,False,False,False,True,False,False
message_109,user_142,False,False,False,False,True,False,False
message_110,user_143,False,False,False,False,False,False,True
message_111,user_144,True,False,False,False,False,False,False
message_112,user_145,True,False,False,False,False,False,False
message_113,user_147,True,False,False,False,False,False,False
message_114,user_148,False,False,False,False,True,False,False
message_115,user_150,True,False,True,False,False,False,False
message_116,user_151,True,False,False,False,False,False,False
message_117,user_152,True,False,False,False,False,False,False
message_118,user_153,False,False,False,False,False,False,True
message_119,user_154,True,False,False,True,False,False,False
message_120,user_155,True,False,False,False,False,False,False
message_121,user_156,False,False,False,False,True,False,False
message_122,user_157,True,False,False,False,False,False,False
message_123,user_159,False,False,False,False,True,False,False
message_124,user_160,True,False,False,False,False,False,False
message_125,user_161,True,False,False,False,False,False,False
message_126,user_162,True,False,True,False,False,False,False
message_127,user_163,True,False,False,False,False,False,False
message_128,user_164,True,False,False,False,False,False,False
message_129,user_165,True,False,False,True,False,False,False
message_130,user_166,False,False,False,False,True,False,False
message_131,user_167,True,True,False,False,False,False,False
message_132,user_168,True,False,True,False,False,False,False
message_133,user_169,False,False,False,False,False,False,True
message_134,user_170,False,False,False,False,False,False,True
message_135,user_171,False,False,False,False,False,True,False
message_136,user_172,False,False,False,False,False,True,False
message_137,user_173,True,False,False,False,False,False,False
message_138,user_175,True,False,True,False,False,False,False
message_139,user_176,True,False,False,False,True,False,False
message_140,user_177,True,False,True,False,False,False,False
message_141,user_178,False,False,False,False,True,False,False
message_142,user_179,False,False,False,False,False,False,True
message_143,user_180,True,False,False,False,False,False,False
message_144,user_182,True,False,False,False,False,False,False
message_145,user_183,False,False,False,False,False,False,True
message_146,user_184,False,False,False,False,False,False,True
message_147,user_185,False,False,True,False,False,False,False
message_148,user_186,True,False,True,False,False,False,False
message_149,user_187,True,False,False,False,False,False,False
message_150,user_188,True,False,False,False,False,False,False
message_151,user_189,True,True,True,False,False,False,False
message_152,user_191,False,False,False,False,False,False,True
message_153,user_193,True,False,True,False,False,False,False
message_154,user_194,True,True,False,False,False,False,False
message_155,user_195,True,False,True,False,False,False,False
message_156,user_197,True,False,False,False,False,False,False
message_157,user_198,False,False,False,False,True,False,False
message_158,user_199,False,True,True,False,False,False,False
message_159,user_200,True,False,False,False,False,False,False
message_160,user_201,True,False,False,True,False,False,False
message_161,user_202,False,False,False,False,False,True,False
message_162,user_204,True,False,False,False,False,False,False
message_163,user_208,False,False,True,False,False,False,False
message_164,user_210,False,False,False,False,True,False,False
message_165,user_212,True,False,False,False,False,False,False
message_166,user_213,True,False,True,True,False,False,False
message_167,user_214,False,False,False,False,False,False,True
message_168,user_215,False,False,False,False,True,False,False
message_169,user_216,True,True,True,False,False,False,False
message_170,user_219,True,False,False,False,False,False,False
message_171,user_220,True,False,True,False,False,False,False
message_172,user_221,False,False,False,False,False,False,True
message_173,user_222,False,False,False,False,True,False,False
message_174,user_224,True,False,False,False,False,False,False
message_175,user_225,False,False,True,False,False,False,False
message_176,user_226,True,False,False,False,False,False,False
message_177,user_227,True,False,False,False,False,False,False
message_178,user_228,True,False,False,False,False,False,False
message_179,user_229,False,False,False,False,True,False,False
message_180,user_230,True,False,False,True,False,False,False
message_181,user_232,True,False,False,False,False,False,False
message_182,user_233,True,False,False,False,False,False,False
message_183,user_234,False,False,False,False,True,False,False
message_184,user_235,False,False,False,False,False,False,True
message_185,user_236,False,False,True,False,False,False,False
message_186,user_237,True,False,False,True,False,False,False
message_187,user_238,True,False,False,True,False,False,False
message_188,user_240,True,False,False,False,False,False,False
message_189,user_241,True,False,False,True,False,False,False
message_190,user_242,True,False,False,False,False,False,False
message_191,user_245,True,False,False,False,False,False,False
message_192,user_246,True,False,False,True,False,False,False
message_193,user_247,True,False,True,False,False,False,False
message_194,user_248,True,False,False,False,True,False,False
message_195,user_249,True,False,True,False,False,False,False
message_196,user_250,True,False,False,False,False,False,False
message_197,user_252,False,False,False,False,False,False,True
message_198,user_253,False,False,False,False,True,False,False
message_199,user_254,True,False,False,False,False,False,False
message_200,user_256,True,False,False,False,False,False,False
message_201,user_259,False,False,False,False,True,False,False
message_202,user_261,False,False,False,False,False,True,False
message_203,user_262,True,False,False,True,False,False,False
message_204,user_263,True,False,False,False,False,False,False
message_205,user_264,False,False,False,False,False,False,True
message_206,user_265,True,False,True,True,False,False,False
message_207,user_266,False,False,True,False,False,False,False
message_208,user_267,False,False,False,False,False,False,True
message_209,user_268,False,False,False,False,False,False,True
message_210,user_269,True,False,False,False,False,False,False
message_211,user_271,True,False,False,False,False,False,False
message_212,user_272,True,False,False,False,False,False,False
message_213,user_273,False,False,False,False,False,True,False
message_214,user_274,False,False,False,False,False,False,True
message_215,user_275,False,False,False,False,False,False,True
