user_id,messages,images_or_missing,lifecycle,foreign_currency,pending_debit,restricted_methods,irregular_recurrence,score,tier,request_id,event_count
user_95,1,0,0,0,0,1,1,3,evidence-heavy,request_95,79
user_96,0,0,0,0,0,1,1,2,structured-complex,request_96,99
user_97,0,0,0,0,0,1,1,2,structured-complex,request_97,58
user_98,1,0,0,1,0,1,1,4,evidence-heavy,request_98,119
user_99,0,0,0,0,0,1,1,2,structured-complex,request_99,75
user_100,0,0,0,0,1,1,1,3,structured-complex,request_100,105
user_101,1,1,0,0,1,1,1,5,evidence-heavy,request_101,84
user_102,1,0,0,0,1,1,1,4,evidence-heavy,request_102,73
user_103,1,0,0,0,1,0,1,3,evidence-heavy,request_103,100
user_104,1,0,0,0,0,1,1,3,evidence-heavy,request_104,86
user_105,1,1,1,0,0,0,1,4,evidence-heavy,request_105,126
user_106,1,0,0,0,0,1,0,2,evidence-heavy,request_106,57
user_107,1,0,0,0,0,1,1,3,evidence-heavy,request_107,95
user_108,1,0,1,0,0,1,1,4,evidence-heavy,request_108,84
user_109,0,0,0,1,0,1,1,3,structured-complex,request_109,121
user_110,1,0,0,0,0,1,1,3,evidence-heavy,request_110,72
user_111,1,0,0,0,0,0,1,2,evidence-heavy,request_111,66
user_112,1,0,0,0,0,1,1,3,evidence-heavy,request_112,98
user_113,1,1,0,1,0,1,1,5,evidence-heavy,request_113,121
user_114,1,0,0,0,0,1,1,3,evidence-heavy,request_114,119
user_115,1,0,0,0,0,1,1,3,evidence-heavy,request_115,59
user_116,0,0,1,0,0,1,1,3,evidence-heavy,request_116,104
user_117,1,0,0,0,0,1,1,3,evidence-heavy,request_117,75
user_118,1,0,0,0,0,1,1,3,evidence-heavy,request_118,101
user_119,1,0,0,0,0,1,1,3,evidence-heavy,request_119,78
user_120,1,0,1,0,1,1,1,5,evidence-heavy,request_120,73
user_121,0,0,0,0,1,1,1,3,structured-complex,request_121,104
user_122,1,0,0,0,1,1,1,4,evidence-heavy,request_122,73
user_123,1,0,0,0,1,1,1,4,evidence-heavy,request_123,116
user_124,0,0,0,0,0,1,0,1,simple,request_124,59
user_125,1,0,0,1,0,1,1,4,evidence-heavy,request_125,121
user_126,1,0,0,0,0,0,1,2,evidence-heavy,request_126,72
user_127,1,0,0,0,0,1,1,3,evidence-heavy,request_127,97
user_128,1,0,0,0,0,1,1,3,evidence-heavy,request_128,84
user_129,1,0,0,0,0,1,0,2,evidence-heavy,request_129,69
user_130,1,0,0,0,0,0,1,2,evidence-heavy,request_130,100
user_131,1,0,0,0,0,1,1,3,evidence-heavy,request_131,78
user_132,1,0,0,0,0,1,1,3,evidence-heavy,request_132,121
user_133,1,0,0,0,0,1,1,3,evidence-heavy,request_133,56
user_134,0,0,1,0,0,1,1,3,evidence-heavy,request_134,103
user_135,1,0,0,0,0,1,0,2,evidence-heavy,request_135,75
user_136,0,0,0,0,0,1,1,2,structured-complex,request_136,81
user_137,1,0,0,0,0,0,1,2,evidence-heavy,request_137,101
user_138,1,0,1,0,1,1,0,4,evidence-heavy,request_138,69
user_139,0,0,1,0,0,1,1,3,evidence-heavy,request_139,101
user_140,1,0,0,0,1,1,1,4,evidence-heavy,request_140,100
user_141,1,0,1,0,1,1,1,5,evidence-heavy,request_141,123
user_142,1,0,0,0,1,1,1,4,evidence-heavy,request_142,73
user_143,1,0,0,0,1,1,1,4,evidence-heavy,request_143,102
user_144,1,0,0,0,0,1,1,3,evidence-heavy,request_144,99
user_145,1,0,0,0,0,1,1,3,evidence-heavy,request_145,103
user_146,0,0,1,0,0,1,1,3,evidence-heavy,request_146,84
user_147,1,0,0,0,0,1,1,3,evidence-heavy,request_147,65
user_148,1,0,1,0,0,1,1,4,evidence-heavy,request_148,104
user_149,0,0,1,0,0,1,1,3,evidence-heavy,request_149,85
user_150,1,0,0,0,0,1,1,3,evidence-heavy,request_150,119
user_151,1,0,0,0,0,1,1,3,evidence-heavy,request_151,56
user_152,1,0,1,0,0,1,1,4,evidence-heavy,request_152,103
user_153,1,0,0,1,0,1,1,4,evidence-heavy,request_153,121
user_154,1,0,0,0,0,1,1,3,evidence-heavy,request_154,104
user_155,1,0,0,0,0,1,1,3,evidence-heavy,request_155,79
user_156,1,0,1,0,1,0,0,3,evidence-heavy,request_156,69
user_157,1,0,0,0,0,1,1,3,evidence-heavy,request_157,101
user_158,0,0,0,0,0,1,1,2,structured-complex,request_158,72
user_159,1,0,0,0,0,1,1,3,evidence-heavy,request_159,113
user_160,1,0,0,0,1,1,1,4,evidence-heavy,request_160,59
user_161,1,0,0,0,1,1,1,4,evidence-heavy,request_161,98
user_162,1,0,0,0,1,1,1,4,evidence-heavy,request_162,76
user_163,1,0,0,0,1,1,1,4,evidence-heavy,request_163,101
user_164,1,0,0,0,0,1,1,3,evidence-heavy,request_164,87
user_165,1,0,0,0,0,1,0,2,evidence-heavy,request_165,68
user_166,1,0,0,0,0,1,1,3,evidence-heavy,request_166,72
user_167,1,0,1,0,0,0,1,3,evidence-heavy,request_167,81
user_168,1,0,0,0,0,1,1,3,evidence-heavy,request_168,123
user_169,1,0,0,1,0,1,1,4,evidence-heavy,request_169,120
user_170,1,0,0,0,0,1,1,3,evidence-heavy,request_170,101
user_171,1,0,0,0,0,1,1,3,evidence-heavy,request_171,74
user_172,1,0,0,0,0,1,1,3,evidence-heavy,request_172,80
user_173,1,0,0,1,0,1,1,4,evidence-heavy,request_173,121
user_174,0,0,0,0,0,1,1,2,structured-complex,request_174,67
user_175,1,0,0,0,0,1,1,3,evidence-heavy,request_175,99
user_176,1,0,0,0,0,0,1,2,evidence-heavy,request_176,85
user_177,1,0,0,0,0,1,1,3,evidence-heavy,request_177,120
user_178,1,0,0,0,0,1,1,3,evidence-heavy,request_178,72
user_179,1,0,0,0,0,1,1,3,evidence-heavy,request_179,99
user_180,1,0,0,0,1,0,1,3,evidence-heavy,request_180,100
user_181,0,0,1,0,1,0,1,3,evidence-heavy,request_181,105
user_182,1,0,0,0,1,1,1,4,evidence-heavy,request_182,83
user_183,1,0,0,1,1,1,1,5,evidence-heavy,request_183,121
user_184,1,0,0,1,0,1,1,4,evidence-heavy,request_184,122
user_185,1,0,0,0,0,1,1,3,evidence-heavy,request_185,102
user_186,1,0,0,0,0,0,1,2,evidence-heavy,request_186,119
user_187,1,0,0,0,0,1,0,2,evidence-heavy,request_187,57
user_188,1,0,1,0,0,1,1,4,evidence-heavy,request_188,104
user_189,1,0,0,0,0,1,1,3,evidence-heavy,request_189,75
user_190,0,0,1,0,0,1,1,3,evidence-heavy,request_190,104
user_191,1,0,1,0,0,1,1,4,evidence-heavy,request_191,82
user_192,0,0,0,0,0,1,1,2,structured-complex,request_192,73
user_193,1,0,0,0,0,1,1,3,evidence-heavy,request_193,102
user_194,1,0,0,0,0,1,1,3,evidence-heavy,request_194,80
user_195,1,0,0,0,0,1,1,3,evidence-heavy,request_195,120
user_196,0,0,0,0,0,1,1,2,structured-complex,request_196,58
user_197,1,0,0,0,0,1,1,3,evidence-heavy,request_197,97
user_198,1,0,1,0,1,1,1,5,evidence-heavy,request_198,77
user_199,1,0,0,0,0,1,1,3,evidence-heavy,request_199,113
user_200,1,0,0,0,1,1,1,4,evidence-heavy,request_200,84
user_201,1,0,0,0,1,0,1,3,evidence-heavy,request_201,66
user_202,1,0,0,0,1,1,1,4,evidence-heavy,request_202,81
user_203,0,0,0,0,1,1,1,3,structured-complex,request_203,116
user_204,1,0,0,0,0,1,1,3,evidence-heavy,request_204,99
user_205,0,0,0,0,0,1,1,2,structured-complex,request_205,103
user_206,0,0,0,0,0,1,1,2,structured-complex,request_206,72
user_207,0,0,0,0,0,1,1,2,structured-complex,request_207,75
user_208,1,0,1,0,0,1,1,4,evidence-heavy,request_208,104
user_209,0,0,0,0,0,1,1,2,structured-complex,request_209,83
user_210,1,0,1,0,1,1,1,5,evidence-heavy,request_210,69
user_211,0,0,0,0,0,1,1,2,structured-complex,request_211,99
user_212,1,0,0,0,0,0,1,2,evidence-heavy,request_212,80
user_213,1,0,0,0,0,1,1,3,evidence-heavy,request_213,119
user_214,1,0,1,1,0,1,1,5,evidence-heavy,request_214,121
user_215,1,0,0,0,0,1,1,3,evidence-heavy,request_215,115
user_216,1,0,0,0,0,1,1,3,evidence-heavy,request_216,75
user_217,0,0,0,0,0,1,1,2,structured-complex,request_217,103
user_218,0,0,1,0,0,1,1,3,evidence-heavy,request_218,84
user_219,1,0,0,0,0,1,1,3,evidence-heavy,request_219,64
user_220,1,0,0,0,1,1,1,4,evidence-heavy,request_220,103
user_221,1,0,1,0,1,1,1,5,evidence-heavy,request_221,83
user_222,1,0,0,0,1,1,1,4,evidence-heavy,request_222,73
user_223,0,0,0,0,1,1,0,2,structured-complex,request_223,59
user_224,1,0,1,0,0,1,1,4,evidence-heavy,request_224,104
user_225,1,0,0,0,0,1,1,3,evidence-heavy,request_225,102
user_226,1,0,0,0,0,1,1,3,evidence-heavy,request_226,101
user_227,1,0,0,0,0,1,1,3,evidence-heavy,request_227,81
user_228,1,0,0,0,0,1,1,3,evidence-heavy,request_228,99
user_229,1,0,1,0,0,1,1,4,evidence-heavy,request_229,103
user_230,1,0,0,0,0,1,1,3,evidence-heavy,request_230,84
user_231,0,0,1,0,0,1,1,3,evidence-heavy,request_231,124
user_232,1,0,0,0,0,1,1,3,evidence-heavy,request_232,98
user_233,1,0,0,0,0,1,1,3,evidence-heavy,request_233,98
user_234,1,0,1,0,1,1,1,5,evidence-heavy,request_234,76
user_235,1,0,0,1,0,1,1,4,evidence-heavy,request_235,120
user_236,1,0,1,0,0,1,1,4,evidence-heavy,request_236,83
user_237,1,0,0,0,0,1,1,3,evidence-heavy,request_237,65
user_238,1,0,0,0,0,1,1,3,evidence-heavy,request_238,104
user_239,0,0,0,0,0,1,1,2,structured-complex,request_239,77
user_240,1,0,0,0,1,1,1,4,evidence-heavy,request_240,100
user_241,1,0,0,0,1,1,1,4,evidence-heavy,request_241,56
user_242,1,0,0,0,1,0,1,3,evidence-heavy,request_242,97
user_243,0,0,1,0,1,1,1,4,evidence-heavy,request_243,79
user_244,0,0,0,0,0,0,1,1,simple,request_244,100
user_245,1,0,0,1,0,0,1,3,evidence-heavy,request_245,121
user_246,1,0,0,0,0,1,1,3,evidence-heavy,request_246,67
user_247,1,0,0,0,0,1,1,3,evidence-heavy,request_247,99
user_248,1,0,0,0,0,1,1,3,evidence-heavy,request_248,86
user_249,1,0,0,0,0,1,1,3,evidence-heavy,request_249,120
user_250,1,0,0,0,0,1,1,3,evidence-heavy,request_250,57
user_251,0,0,0,0,0,1,1,2,structured-complex,request_251,113
user_252,1,0,1,0,1,1,1,5,evidence-heavy,request_252,77
user_253,1,0,1,0,0,1,1,4,evidence-heavy,request_253,104
user_254,1,0,0,0,0,1,1,3,evidence-heavy,request_254,81
user_255,0,0,0,0,0,1,1,2,structured-complex,request_255,67
user_256,1,0,0,0,0,1,1,3,evidence-heavy,request_256,98
user_257,0,0,0,1,0,1,1,3,structured-complex,request_257,121
user_258,0,0,0,0,0,1,1,2,structured-complex,request_258,124
user_259,1,0,1,0,0,1,1,4,evidence-heavy,request_259,58
user_260,0,0,0,1,1,1,1,4,structured-complex,request_260,124
user_261,1,0,1,0,1,1,1,5,evidence-heavy,request_261,77
user_262,1,0,0,0,1,1,1,4,evidence-heavy,request_262,105
user_263,1,0,0,1,1,1,1,5,evidence-heavy,request_263,121
user_264,1,0,1,0,0,0,1,3,evidence-heavy,request_264,70
user_265,1,0,0,0,0,1,1,3,evidence-heavy,request_265,100
user_266,1,0,1,0,0,1,1,4,evidence-heavy,request_266,82
user_267,1,0,0,1,0,1,1,4,evidence-heavy,request_267,120
user_268,1,0,0,0,0,1,1,3,evidence-heavy,request_268,59
user_269,1,0,0,0,0,1,1,3,evidence-heavy,request_269,97
user_270,0,0,0,0,0,1,1,2,structured-complex,request_270,80
user_271,1,0,0,0,0,1,1,3,evidence-heavy,request_271,99
user_272,1,0,1,0,0,1,1,4,evidence-heavy,request_272,84
user_273,1,0,0,0,0,1,1,3,evidence-heavy,request_273,68
user_274,1,0,0,1,0,1,1,4,evidence-heavy,request_274,119
user_275,1,0,1,0,0,1,1,4,evidence-heavy,request_275,81
